,Wins,Ties,Losses,Soccer Score,Basic Score
Weak,16,15,9,1.0750000000000002,-0.15000000000000002
Strong,13,16,11,1.1500000000000001,-0.12499999999999997
DQN,10,12,18,1.6,0.15
TD3,12,13,15,1.4250000000000003,0.05000000000000001
DDPG,15,11,14,1.4249999999999998,0.07500000000000001
