Wall time,Step,Value
1615632515.5145683,73293,-23.47126007080078
1615632516.4802501,73544,-23.579647064208984
1615632523.4056563,73576,-23.711143493652344
1615632524.5681171,73827,-23.611896514892578
1615632529.7063744,73857,-23.704259872436523
1615632530.5376868,74108,-23.643522262573242
1615632539.2561262,74359,-24.042892456054688
1615632547.9525652,74610,-24.05316734313965
1615632557.3944998,74861,-23.989179611206055
1615632565.4867435,75112,-23.9757137298584
1615632574.841302,75166,-24.034643173217773
1615632577.1645007,75417,-23.92104721069336
1615632586.2706738,75668,-24.074445724487305
1615632596.1250465,75919,-24.216014862060547
1615632603.319631,75972,-24.426776885986328
1615632605.4325469,76223,-24.444690704345703
1615632614.1230311,76381,-24.56438636779785
1615632619.2292457,76632,-24.51293182373047
1615632628.4663806,76682,-24.61882209777832
1615632631.2064226,76933,-24.6622314453125
1615632641.7167714,77014,-24.77891731262207
1615632644.6764293,77265,-24.723609924316406
1615632655.7092767,77446,-24.548118591308594
1615632659.9395518,77697,-24.51969337463379
1615632665.8729134,77728,-24.63055419921875
1615632666.7718592,77979,-24.841503143310547
1615632672.3009386,78009,-24.761465072631836
1615632673.2332752,78260,-25.04662322998047
1615632679.917008,78290,-24.94828224182129
1615632681.6943603,78541,-24.973190307617188
1615632690.0226443,78609,-24.80259132385254
1615632692.3789437,78860,-24.896827697753906
1615632699.2179859,79111,-25.095420837402344
1615632707.0366766,79362,-25.287620544433594
1615632714.2362468,79613,-25.46285629272461
1615632720.6584623,79864,-25.662797927856445
1615632728.6552446,80033,-25.671186447143555
1615632732.8798726,80284,-25.571550369262695
1615632739.92406,80372,-25.564022064208984
1615632743.2359765,80623,-25.502235412597656
1615632750.583504,80668,-25.480545043945312
1615632752.305651,80762,-25.072277069091797
1615632754.6535115,80804,-25.05529022216797
1615632756.5576267,81055,-24.955629348754883
1615632763.145674,81099,-25.178789138793945
1615632764.5414555,81294,-24.963857650756836
1615632769.2902963,81545,-24.902706146240234
1615632776.5918953,81598,-24.64908218383789
1615632778.22114,81634,-24.796947479248047
1615632779.631882,81885,-24.592058181762695
1615632787.4447017,82136,-24.592058181762695
1615632793.4274511,82237,-23.966707229614258
1615632795.9458902,82296,-23.639284133911133
1615632797.6032147,82547,-23.517105102539062
1615632803.4812083,82664,-23.423871994018555
1615632806.4112456,82915,-22.83544158935547
1615632813.2963817,83166,-22.888656616210938
1615632819.3268232,83363,-22.493297576904297
1615632824.8359532,83395,-22.512434005737305
1615632826.219607,83646,-22.599897384643555
1615632832.4060767,83787,-22.774959564208984
1615632836.7137907,84038,-22.884031295776367
1615632843.4964004,84071,-22.841873168945312
1615632844.4796,84322,-22.77416229248047
1615632850.4174354,84501,-22.508405685424805
1615632855.6246405,84752,-22.656118392944336
1615632861.845998,84829,-22.6549015045166
1615632864.348089,85080,-22.587512969970703
1615632871.9473662,85126,-22.413843154907227
1615632873.2500834,85377,-22.01704978942871
1615632880.8226783,85434,-22.124183654785156
1615632883.019519,85685,-21.605144500732422
1615632890.7227757,85857,-21.655838012695312
