Wall time,Step,Value
1615635552.5575492,19053,-26.447961807250977
1615635555.7874782,19087,-26.308000564575195
1615635556.5904844,19338,-26.445846557617188
1615635561.0784254,19589,-26.17037010192871
1615635564.9980652,19840,-26.286706924438477
1615635568.8771615,20091,-26.025575637817383
1615635573.6889374,20342,-26.29984474182129
1615635578.6296408,20435,-26.154796600341797
1615635580.761764,20686,-26.176441192626953
1615635586.5562706,20716,-26.005748748779297
1615635587.1392267,20967,-26.075010299682617
1615635590.383404,21011,-26.07210922241211
1615635591.2369347,21262,-26.00543785095215
1615635594.5840373,21309,-26.142576217651367
1615635595.4421718,21560,-26.22147560119629
1615635598.7647736,21611,-26.238540649414062
1615635599.7556646,21862,-26.315149307250977
1615635603.2288048,22113,-26.293628692626953
1615635606.6709049,22364,-26.424211502075195
1615635610.0176885,22615,-26.52285385131836
1615635613.6933203,22866,-26.52417755126953
1615635617.1926794,22939,-26.31229591369629
1615635618.3936894,23190,-26.306371688842773
1615635622.1003478,23441,-26.315675735473633
1615635625.774389,23692,-26.20121955871582
1615635629.303272,23943,-26.066917419433594
1615635633.002185,24194,-25.99921226501465
1615635636.2561889,24242,-25.9956111907959
1615635637.135863,24493,-26.024303436279297
1615635640.319948,24542,-26.160171508789062
1615635641.193702,24793,-26.29355812072754
1615635644.635448,25044,-26.339885711669922
1615635648.0503328,25295,-26.369956970214844
1615635651.5996346,25546,-26.42115592956543
1615635655.1821513,25797,-26.328468322753906
1615635658.5375218,26048,-26.30044937133789
1615635662.0711193,26299,-26.422517776489258
1615635666.0648441,26459,-26.64280128479004
1615635668.672572,26710,-26.58077049255371
1615635672.7496433,26757,-26.71283721923828
1615635673.667562,27008,-26.774822235107422
1615635677.1930888,27048,-26.90557289123535
1615635678.090902,27299,-26.854089736938477
1615635682.0251446,27388,-26.796586990356445
1615635683.6086216,27639,-26.946645736694336
1615635687.5728204,27682,-26.94767189025879
1615635688.45319,27933,-26.9554500579834
1615635691.950242,27970,-27.106992721557617
1615635692.8117635,28221,-27.336925506591797
1615635696.8912482,28472,-27.135623931884766
1615635700.7177658,28723,-27.085330963134766
1615635704.499451,28974,-27.14590072631836
1615635708.7749395,29225,-26.918027877807617
1615635712.640225,29257,-26.914886474609375
1615635713.3305836,29508,-26.876909255981445
1615635716.9561546,29707,-27.015039443969727
1615635719.9456418,29958,-27.095779418945312
1615635723.9020636,30015,-26.841217041015625
1615635724.98411,30266,-26.869997024536133
1615635728.8602269,30517,-26.869997024536133
1615635732.330321,30768,-27.327857971191406
1615635735.8129091,30891,-27.406761169433594
1615635738.0825403,31142,-27.525497436523438
1615635742.6044621,31220,-27.49952507019043
1615635744.0041404,31471,-27.357036590576172
1615635747.5257158,31619,-27.51746368408203
1615635750.2752628,31870,-27.510881423950195
1615635753.9247718,32016,-27.425294876098633
1615635756.4631367,32267,-27.58952522277832
1615635760.5743032,32406,-27.63029670715332
