Wall time,Step,Value
1615375960.447371,113332,-4.252041816711426
1615375963.093545,113583,-4.2671895027160645
1615375971.3317757,113728,-4.284396171569824
1615375978.4470768,114090,-3.9545071125030518
1615376008.5173914,115540,-3.595392942428589
1615376009.5207736,115791,-3.8852052688598633
1615376021.18429,116379,-3.997000217437744
1615376027.2661173,116587,-4.03392219543457
1615376031.3452177,116659,-4.220511436462402
1615376037.8847215,117028,-4.357422351837158
1615376040.386682,117279,-4.268849849700928
1615376058.3674595,118007,-4.1351704597473145
1615376067.290188,118601,-3.7311315536499023
1615376072.3409357,118852,-3.7859456539154053
1615376078.0629883,118961,-4.031214714050293
1615376084.4484344,119252,-3.813533306121826
1615376088.9986901,119677,-3.4551897048950195
1615376094.0362942,119928,-3.4120354652404785
1615376098.9940903,120082,-3.516087055206299
1615376102.0290887,120128,-3.2777955532073975
1615376108.98416,120459,-3.509629964828491
1615376116.5729415,120963,-3.350344181060791
1615376123.978605,121300,-3.3627190589904785
1615376131.8889673,121802,-3.2527408599853516
1615376136.8348129,121927,-3.336534261703491
1615376139.3528154,122048,-3.4276509284973145
1615376159.3275251,122953,-3.5655226707458496
1615376160.1956375,123113,-3.844599485397339
1615376177.3219187,123847,-3.7902474403381348
1615376189.588171,124470,-3.9531948566436768
1615376200.278823,124967,-4.032405853271484
1615376211.4874432,125681,-4.631546974182129
1615376224.5209653,126364,-4.396343231201172
1615376234.7115326,126866,-4.303825378417969
1615376249.258792,127581,-4.511001110076904
1615376260.1886508,128117,-4.303606033325195
1615376316.3629894,130637,-2.9789528846740723
1615376322.5090563,131139,-3.146047830581665
1615376327.543029,131248,-2.8627071380615234
1615376336.0207431,131796,-2.387239694595337
1615376342.3825252,131917,-1.891810655593872
1615376350.6323113,132498,-2.1745054721832275
1615376356.5063074,132584,-2.268249034881592
1615376358.48776,132725,-2.397620439529419
1615376376.3671532,133748,-2.4351072311401367
1615376403.176558,135047,-2.825309991836548
1615376419.7263765,135643,-2.9506916999816895
1615376434.5086298,136342,-2.3849399089813232
1615376435.4747705,136593,-2.2632381916046143
1615376440.453383,136632,-2.0377941131591797
1615376441.4406574,136883,-1.9036177396774292
1615376460.0612109,137782,-1.892851710319519
1615376467.737261,138120,-1.7559645175933838
1615376478.5807245,138677,-1.6740995645523071
1615376483.6044886,138744,-1.6921627521514893
1615376485.0082133,138805,-1.7107288837432861
1615376486.2909906,138873,-1.7205625772476196
1615376515.7854998,140405,-2.00058650970459
1615376519.564626,140656,-1.9171223640441895
1615376529.7451982,140941,-1.583039402961731
1615376550.3268285,142129,-1.9805231094360352
1615376562.266598,142534,-2.0265369415283203
1615376587.4628916,143911,-2.6378443241119385
1615376597.8561366,144389,-2.583714246749878
1615376602.4518282,144427,-2.5786843299865723
1615376603.5535724,144589,-2.3645715713500977
1615376613.4317863,144976,-2.186420440673828
1615376614.9431274,145129,-2.1863815784454346
1615376627.1155822,145744,-1.9907029867172241
1615376645.5503314,146513,-1.8409878015518188
1615376646.8984544,146554,-2.05987548828125
1615376656.034613,147193,-2.0421464443206787
1615376661.4346156,147271,-2.041276454925537
1615376663.2356877,147515,-2.295111656188965
1615376668.1725366,147583,-2.046567440032959
1615376678.798541,148084,-1.8456722497940063
1615376680.1120887,148220,-1.8375533819198608
1615376689.8394637,148649,-1.995470404624939
1615376692.0017395,148900,-1.9954098463058472
1615376709.5114539,149625,-0.5348214507102966
1615376720.963927,150206,-0.5520471930503845
1615376729.6251462,150498,-0.8086110353469849
1615376731.7923458,150643,-1.130631923675537
1615376733.5372198,150679,-1.1253480911254883
1615376749.9333575,151544,-0.4789831340312958
1615376752.4109635,151646,-0.49929410219192505
1615376754.6916223,151897,-0.6142524480819702
1615376766.0775135,152243,-0.3370955288410187
1615376794.9440658,153804,0.028326112776994705
1615376804.0935543,154183,-0.15583042800426483
1615376816.0086136,154608,0.2744574248790741
