,Wins,Ties,Losses,Soccer Score,Basic Score
TD3-superagent,174,186,40,1.77,0.335
TD3-stronger,172,117,111,1.582,0.152
TD3-traininghall,152,173,75,1.572,0.192
Strong,67,186,147,0.968,-0.2
Weak,35,138,227,0.607,-0.48
