Wall time,Step,Value
1615743992.9301462,827,-19.660865783691406
1615744025.5252984,3150,-15.15809440612793
1615744043.7681415,4077,-14.193588256835938
1615744111.1249254,7417,-12.30115795135498
1615744121.3978493,7919,-12.529203414916992
1615744130.122692,8582,-11.735750198364258
1615744150.9893286,9482,-10.267147064208984
1615744155.3249576,9899,-9.41132926940918
1615744186.7416332,12581,-10.242745399475098
1615744190.4770787,12884,-9.653519630432129
1615744238.8192966,16804,-10.486485481262207
1615744252.3509767,17743,-9.690388679504395
1615744257.0118847,18281,-9.217412948608398
1615744259.8903248,18312,-9.120854377746582
1615744267.4330196,19122,-7.452126979827881
1615744299.352142,21536,-6.404107570648193
1615744322.4639406,23429,-5.239519119262695
1615744348.867032,25669,-5.149672985076904
1615744357.6830971,26321,-6.097883701324463
1615744362.5030346,26662,-5.591930866241455
1615744377.1833184,28032,-4.5199480056762695
1615744380.3178916,28283,-4.567623138427734
1615744393.8597589,29198,-3.771615505218506
1615744401.97883,29998,-2.2980661392211914
1615744408.02421,30362,-1.7625845670700073
1615744409.664972,30613,-1.6085615158081055
1615744417.0208876,31196,-0.46415209770202637
1615744428.3004382,31961,-0.10715148597955704
1615744442.4918246,33208,0.05180657282471657
1615744445.4782712,33233,0.0526898056268692
1615744455.1705632,34227,-0.29894039034843445
1615744475.022851,35812,-0.3052217960357666
1615744485.6475837,36495,-0.9430813193321228
1615744491.1466424,37032,-0.8869400024414062
1615744519.1053736,39173,-1.3181405067443848
1615744525.7201524,39717,-0.7800926566123962
1615744532.0391529,40189,-0.7426681518554688
1615744540.932623,40900,0.12514910101890564
1615744546.0844674,41384,-0.21375378966331482
1615744549.4488213,41663,-0.6727805733680725
1615744570.076331,43296,-1.507818341255188
1615744577.5447044,44017,-0.8409568667411804
1615744580.4851232,44096,-0.7982757687568665
1615744587.7731078,44755,-0.561651885509491
1615744596.84885,45392,-0.44556403160095215
1615744598.616271,45704,-0.04060472175478935
1615744616.239918,47046,0.38689348101615906
1615744618.367213,47149,0.5838617086410522
1615744636.5260596,48531,0.515532374382019
1615744652.3715358,49758,2.1065986156463623
